Date,Open,High,Low,Close,Adj Close,Volume
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362
1/4/2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905
1/5/2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859
1/6/2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289
1/7/2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520
1/8/2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845
1/9/2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372
1/10/2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331
1/11/2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900
1/12/2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689
1/13/2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082
1/14/2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399
1/15/2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298
1/16/2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845
1/17/2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261
1/18/2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227
1/19/2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258
1/20/2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940
1/21/2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031
1/22/2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405
1/23/2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951
1/24/2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597
1/25/2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594
1/26/2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034
1/27/2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629
1/28/2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523
1/29/2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075
1/30/2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444
1/31/2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465
2/1/2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328
2/2/2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416
